2009 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	2724.0	57.0	4.45	25.0	7.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	197.0	57.0	4.1	24.0	8.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	2982.0	55.0	4.55	24.0	6.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	223.0	50.0	4.57	26.0	4.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	3287.0	55.0	4.56	31.0	7.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	220.0	59.0	4.26	28.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	3538.0	57.0	4.47	45.0	7.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	228.0	62.0	4.07	55.0	5.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	43.0	79.0	4.67	65.0	5.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4014.0	58.0	4.13	49.0	8.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	279.0	61.0	4.2	56.0	6.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	75.0	63.0	5.24	67.0	10.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2014 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4250.0	58.0	4.16	56.0	10.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	412.0	61.0	4.07	60.0	9.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	69.0	70.0	5.19	62.0	13.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2015 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4423.0	59.0	4.33	72.0	11.21	92.0	22.3	92.0	12.37	88.0	5.52	92.0	1.42	69.0	1.32
	italy	453.0	60.0	4.21	79.0	9.99	97.0	23.45	97.0	12.42	94.0	6.18	97.0	1.59	92.0	1.7
	fism	81.0	53.0	6.07	81.0	13.86	99.0	30.16	99.0	16.31	99.0	7.2	99.0	1.86	90.0	1.85
2016 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4541.0	60.0	4.29	69.0	12.96	83.0	17.08	83.0	11.83	80.0	5.17	82.0	1.4	62.0	1.32
	italy	477.0	62.0	4.36	71.0	15.44	85.0	20.58	85.0	14.21	84.0	6.25	85.0	1.77	79.0	1.77
	fism	93.0	65.0	4.5	72.0	13.24	84.0	22.21	84.0	15.74	83.0	6.25	84.0	1.87	74.0	1.71
2017 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4576.0	62.0	4.03	71.0	13.03	96.0	12.82	96.0	11.51	94.0	5.18	96.0	1.39	71.0	1.33
	italy	498.0	60.0	3.81	74.0	15.04	97.0	16.78	97.0	14.76	95.0	7.23	97.0	1.86	90.0	1.8
	fism	75.0	57.0	4.17	72.0	11.13	99.0	15.89	99.0	13.92	99.0	6.19	97.0	1.64	88.0	1.61
2018 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4684.0	62.0	4.13	72.0	13.23	97.0	7.7	97.0	7.64	94.0	4.63	96.0	1.43	74.0	1.34
	italy	493.0	64.0	4.36	75.0	13.57	99.0	12.01	99.0	11.94	96.0	7.4	99.0	2.27	93.0	1.79
	fism	66.0	59.0	6.4	80.0	26.49	100.0	14.08	100.0	13.95	97.0	7.92	100.0	2.4	91.0	1.97
2019 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
