2009 	 agenda	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	any	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010 	 agenda	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	any	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011 	 agenda	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	any	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012 	 agenda	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	any	43.0	79.0	4.67	65.0	5.93	0.0	0.0	0.0	0.0
	data_sharing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	4.0	50.0	4.67	50.0	9.5	0.0	0.0	0.0	0.0
2013 	 agenda	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	any	75.0	63.0	5.24	67.0	10.54	0.0	0.0	0.0	0.0
	data_sharing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	1.0	100.0	8.69	100.0	8.0	0.0	0.0	0.0	0.0
	personalized_medicine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	10.0	40.0	2.95	80.0	8.0	0.0	0.0	0.0	0.0
2014 	 agenda	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_fcr	av_fcr
	any	69.0	70.0	5.19	62.0	13.02	0.0	0.0	0.0	0.0
	data_sharing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
