2009 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr
	any	2724.0	57.0	4.45	25.0	7.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	6.0	50.0	4.79	33.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	59.0	58.0	5.26	25.0	13.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	6.0	50.0	4.68	33.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	329.0	49.0	4.69	28.0	7.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr
	any	2982.0	55.0	4.55	24.0	6.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	5.0	40.0	4.43	40.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	77.0	62.0	4.38	23.0	5.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	5.0	0.0	0.0	40.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	357.0	52.0	4.53	27.0	6.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr
	any	3287.0	55.0	4.56	31.0	7.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	2.0	50.0	5.22	50.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	74.0	57.0	4.63	26.0	6.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	4.0	75.0	3.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	progressive	379.0	50.0	4.85	31.0	6.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr
	any	3538.0	57.0	4.47	45.0	7.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	data_sharing	2.0	0.0	0.0	100.0	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	pediatric	75.0	48.0	4.1	36.0	4.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	personalized_medicine	8.0	88.0	4.36	38.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
